Tahun Registrasi,Provinsi,Kota/Kabupaten,Tipe Kendaraan,Brand,Model,Estimasi Harga (Rp),Jarak Tempuh (km),Penerima Subsidi
2022,Jawa Barat,Bandung,Mobil Listrik (R4),Hyundai,Ioniq 5,937000000,430,Tidak
2024,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Gesits,Raya,45000000,69,Tidak
2023,Jawa Barat,Lainnya,Mobil Listrik (R4),BYD,Atto 3,542000000,522,Tidak
2025,Banten,Tangerang,Motor Listrik (R2),Volta,Virgo,43000000,90,Tidak
2025,DKI Jakarta,Jakarta Utara,Mobil Listrik (R4),Hyundai,Ioniq 6,1190000000,469,Ya
2024,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Volta,Mandala,25000000,85,Ya
2022,Jawa Barat,Bogor,Motor Listrik (R2),Polytron,Fox R,19000000,92,Ya
2024,Banten,Tangerang Selatan,Mobil Listrik (R4),Wuling,BinguoEV,251000000,390,Ya
2025,Jawa Barat,Bekasi,Mobil Listrik (R4),Hyundai,Kona Electric,1027000000,448,Ya
2025,Banten,Lainnya,Motor Listrik (R2),Gesits,G1,38000000,66,Ya
2025,Jawa Timur,Surabaya,Motor Listrik (R2),Polytron,Fox S,35000000,113,Ya
2025,DI Yogyakarta,Kota/Kabupaten Lain,Motor Listrik (R2),Alva,Cervo,38000000,109,Tidak
2022,Sumatera Utara,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,Air EV,375000000,206,Tidak
2023,Banten,Tangerang Selatan,Motor Listrik (R2),Alva,Cervo,22000000,117,Ya
2025,Jawa Timur,Surabaya,Motor Listrik (R2),Selis,E-Max,43000000,78,Tidak
2024,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),MG,MG ZS EV,437000000,398,Tidak
2022,Jawa Barat,Depok,Motor Listrik (R2),Gesits,G1,28000000,69,Ya
2024,Jawa Barat,Lainnya,Mobil Listrik (R4),Wuling,BinguoEV,211000000,289,Ya
2024,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Polytron,Fox R,18000000,81,Ya
2024,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Polytron,Fox R,38000000,84,Ya
2021,DKI Jakarta,Jakarta Pusat,Mobil Listrik (R4),Chery,Omoda E5,445000000,300,Tidak
2023,DKI Jakarta,Jakarta Barat,Mobil Listrik (R4),Wuling,Air EV,237000000,323,Ya
2024,Jawa Barat,Bekasi,Mobil Listrik (R4),Toyota,bZ4X,923000000,358,Tidak
2023,Jawa Barat,Bogor,Motor Listrik (R2),Polytron,Fox R,16000000,130,Ya
2025,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Polytron,Fox S,38000000,130,Tidak
2022,Jawa Barat,Bogor,Motor Listrik (R2),Gesits,G1,26000000,64,Ya
2023,Banten,Lainnya,Mobil Listrik (R4),Hyundai,Kona Electric,902000000,447,Ya
2024,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Selis,Agats,31000000,93,Ya
2024,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Polytron,Fox R,35000000,68,Ya
2024,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Polytron,Fox S,41000000,94,Ya
2024,Banten,Lainnya,Mobil Listrik (R4),Hyundai,Ioniq 6,900000000,353,Ya
2023,Jawa Timur,Malang,Motor Listrik (R2),Alva,One,41000000,122,Ya
2024,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Volta,Virgo,42000000,128,Tidak
2025,Jawa Timur,Malang,Motor Listrik (R2),Polytron,Fox S,33000000,107,Tidak
2024,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),Hyundai,Kona Electric,1060000000,432,Ya
2022,Banten,Lainnya,Mobil Listrik (R4),Wuling,Cloud EV,343000000,381,Tidak
2024,Jawa Barat,Bogor,Motor Listrik (R2),Gesits,Raya,25000000,120,Ya
2023,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Volta,Mandala,37000000,124,Tidak
2023,DKI Jakarta,Jakarta Pusat,Bus/Komersil (EV),MAB,MD12E NF,3058000000,193,Tidak
2023,Banten,Tangerang Selatan,Mobil Listrik (R4),Hyundai,Ioniq 6,944000000,497,Ya
2025,Sulawesi Selatan,Kota/Kabupaten Lain,Mobil Listrik (R4),Hyundai,Kona Electric,1120000000,486,Ya
2023,Jawa Barat,Bogor,Mobil Listrik (R4),Chery,Omoda E5,799000000,413,Tidak
2025,Jawa Barat,Bandung,Motor Listrik (R2),Polytron,Fox S,24000000,72,Ya
2023,DKI Jakarta,Jakarta Utara,Mobil Listrik (R4),Wuling,BinguoEV,340000000,255,Ya
2023,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Gesits,G1,25000000,60,Ya
2025,DKI Jakarta,Jakarta Utara,Mobil Listrik (R4),Hyundai,Ioniq 6,1118000000,408,Ya
2022,Banten,Tangerang Selatan,Mobil Listrik (R4),Hyundai,Ioniq 5,1199000000,410,Tidak
2024,Sulawesi Selatan,Kota/Kabupaten Lain,Motor Listrik (R2),Honda,EM1 e:,38000000,63,Tidak
2023,Jawa Barat,Lainnya,Motor Listrik (R2),Honda,EM1 e:,31000000,105,Ya
2020,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Yadea,E8s Pro,34000000,109,Ya
2024,Jawa Barat,Bekasi,Motor Listrik (R2),Yadea,T9,42000000,113,Tidak
2023,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Gesits,Raya,36000000,119,Tidak
2021,DKI Jakarta,Jakarta Pusat,Mobil Listrik (R4),Hyundai,Ioniq 5,1164000000,474,Tidak
2024,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Honda,EM1 e:,40000000,81,Ya
2023,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Polytron,Fox R,17000000,124,Ya
2024,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Volta,Mandala,20000000,77,Ya
2025,Jawa Timur,Surabaya,Motor Listrik (R2),Gesits,Raya,44000000,73,Ya
2024,Jawa Barat,Lainnya,Mobil Listrik (R4),Toyota,bZ4X,684000000,388,Tidak
2024,DKI Jakarta,Jakarta Pusat,Mobil Listrik (R4),BYD,Dolphin,431000000,528,Tidak
2024,Jawa Barat,Depok,Motor Listrik (R2),Honda,EM1 e:,25000000,111,Ya
2025,DKI Jakarta,Jakarta Pusat,Mobil Listrik (R4),Wuling,Air EV,276000000,240,Ya
2025,Jawa Barat,Lainnya,Motor Listrik (R2),Yadea,T9,30000000,118,Ya
2024,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Gesits,G1,41000000,117,Ya
2022,Jawa Barat,Bogor,Motor Listrik (R2),Yadea,E8s Pro,39000000,101,Ya
2024,Jawa Barat,Lainnya,Motor Listrik (R2),Volta,Mandala,43000000,92,Ya
2023,DKI Jakarta,Jakarta Barat,Mobil Listrik (R4),Hyundai,Kona Electric,1109000000,440,Ya
2024,Jawa Timur,Sidoarjo,Motor Listrik (R2),Gesits,G1,20000000,81,Ya
2024,DKI Jakarta,Jakarta Utara,Mobil Listrik (R4),BYD,Dolphin,614000000,517,Tidak
2025,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),Chery,Omoda E5,484000000,425,Tidak
2023,DKI Jakarta,Jakarta Timur,Mobil Listrik (R4),MG,MG ZS EV,573000000,340,Tidak
2024,Jawa Barat,Bekasi,Mobil Listrik (R4),Wuling,Cloud EV,382000000,362,Ya
2023,Banten,Tangerang Selatan,Motor Listrik (R2),Selis,Agats,33000000,114,Ya
2025,DKI Jakarta,Jakarta Timur,Mobil Listrik (R4),Toyota,bZ4X,614000000,401,Tidak
2025,DI Yogyakarta,Kota/Kabupaten Lain,Motor Listrik (R2),Gesits,G1,19000000,67,Ya
2024,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Honda,EM1 e:,36000000,126,Ya
2024,Banten,Tangerang Selatan,Mobil Listrik (R4),BYD,Dolphin,537000000,409,Tidak
2024,Banten,Tangerang,Motor Listrik (R2),Polytron,Fox R,32000000,93,Ya
2025,DKI Jakarta,Jakarta Pusat,Bus/Komersil (EV),INKA,E-Inobus,4927000000,166,Tidak
2025,Banten,Lainnya,Mobil Listrik (R4),Hyundai,Ioniq 5,912000000,494,Ya
2022,Jawa Barat,Bekasi,Motor Listrik (R2),Gesits,Raya,43000000,100,Ya
2024,Jawa Timur,Lainnya,Motor Listrik (R2),Honda,EM1 e:,17000000,85,Ya
2024,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Alva,One,25000000,80,Ya
2023,DKI Jakarta,Jakarta Pusat,Mobil Listrik (R4),Wuling,BinguoEV,296000000,218,Ya
2022,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Volta,Virgo,28000000,81,Ya
2025,Sumatera Utara,Kota/Kabupaten Lain,Mobil Listrik (R4),Hyundai,Ioniq 6,730000000,480,Ya
2023,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Gesits,G1,15000000,110,Ya
2024,Banten,Tangerang,Motor Listrik (R2),Volta,Mandala,43000000,112,Ya
2023,Jawa Timur,Malang,Motor Listrik (R2),Polytron,Fox S,31000000,123,Ya
2022,Jawa Barat,Bogor,Motor Listrik (R2),Alva,One,31000000,82,Ya
2022,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Gesits,G1,36000000,87,Tidak
2023,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Polytron,Fox S,18000000,68,Ya
2024,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Polytron,Fox S,16000000,91,Ya
2025,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Honda,EM1 e:,16000000,124,Ya
2022,DKI Jakarta,Jakarta Utara,Mobil Listrik (R4),Wuling,BinguoEV,262000000,222,Tidak
2023,Sulawesi Selatan,Kota/Kabupaten Lain,Mobil Listrik (R4),Hyundai,Kona Electric,854000000,413,Ya
2024,Banten,Tangerang,Mobil Listrik (R4),Wuling,BinguoEV,357000000,310,Ya
2024,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Yadea,T9,36000000,62,Ya
2024,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Volta,401,22000000,120,Ya
2024,Jawa Barat,Bandung,Mobil Listrik (R4),BYD,Seal,481000000,575,Tidak
2025,Jawa Barat,Bogor,Mobil Listrik (R4),Chery,Omoda E5,994000000,361,Tidak
2025,Banten,Tangerang Selatan,Motor Listrik (R2),Alva,Cervo,30000000,118,Ya
2025,Jawa Timur,Sidoarjo,Mobil Listrik (R4),Wuling,BinguoEV,251000000,306,Ya
2023,Jawa Barat,Depok,Mobil Listrik (R4),Chery,Omoda E5,786000000,379,Tidak
2023,Banten,Tangerang,Motor Listrik (R2),Gesits,Raya,25000000,67,Ya
2024,Jawa Barat,Lainnya,Mobil Listrik (R4),Chery,Omoda E5,916000000,328,Tidak
2023,Jawa Barat,Bandung,Motor Listrik (R2),Gesits,Raya,21000000,105,Ya
2023,DI Yogyakarta,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,Air EV,202000000,235,Ya
2024,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Alva,One,33000000,100,Ya
2022,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Volta,401,41000000,66,Tidak
2021,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,Cloud EV,348000000,387,Tidak
2023,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Honda,EM1 e:,21000000,91,Ya
2024,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Volta,Virgo,45000000,70,Ya
2024,Banten,Tangerang Selatan,Motor Listrik (R2),Volta,Mandala,36000000,68,Ya
2024,Jawa Barat,Depok,Mobil Listrik (R4),Wuling,Cloud EV,323000000,280,Ya
2025,Jawa Barat,Bogor,Mobil Listrik (R4),Wuling,Cloud EV,391000000,207,Ya
2023,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Polytron,Fox R,27000000,92,Ya
2023,Jawa Timur,Surabaya,Mobil Listrik (R4),Wuling,BinguoEV,225000000,308,Ya
2023,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Alva,Cervo,24000000,73,Ya
2024,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Gesits,G1,38000000,98,Ya
2024,Jawa Barat,Bekasi,Mobil Listrik (R4),Wuling,Cloud EV,312000000,311,Ya
2024,DKI Jakarta,Jakarta Pusat,Mobil Listrik (R4),Hyundai,Ioniq 5,1177000000,457,Ya
2023,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Selis,E-Max,38000000,92,Ya
2024,DKI Jakarta,Jakarta Timur,Mobil Listrik (R4),Wuling,BinguoEV,368000000,348,Ya
2025,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Volta,401,20000000,96,Ya
2025,Jawa Timur,Malang,Motor Listrik (R2),Alva,Cervo,41000000,121,Ya
2025,Jawa Barat,Bekasi,Motor Listrik (R2),Gesits,G1,36000000,64,Ya
2024,Banten,Tangerang Selatan,Mobil Listrik (R4),Wuling,Air EV,379000000,398,Ya
2025,Jawa Barat,Bandung,Motor Listrik (R2),Selis,E-Max,29000000,119,Ya
2021,Sumatera Utara,Kota/Kabupaten Lain,Motor Listrik (R2),Volta,Mandala,32000000,83,Ya
2025,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Selis,Agats,31000000,70,Tidak
2024,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Selis,Agats,41000000,105,Ya
2024,Banten,Lainnya,Motor Listrik (R2),Alva,Cervo,34000000,68,Tidak
2025,Banten,Lainnya,Mobil Listrik (R4),Chery,Omoda E5,721000000,400,Tidak
2023,Jawa Timur,Sidoarjo,Mobil Listrik (R4),Wuling,BinguoEV,266000000,310,Ya
2025,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Honda,EM1 e:,19000000,90,Ya
2025,Jawa Timur,Surabaya,Mobil Listrik (R4),Hyundai,Ioniq 5,715000000,416,Ya
2024,Banten,Lainnya,Motor Listrik (R2),Gesits,G1,24000000,79,Ya
2024,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Selis,Agats,30000000,128,Ya
2020,Banten,Tangerang,Motor Listrik (R2),Gesits,Raya,23000000,123,Ya
2024,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Honda,EM1 e:,31000000,120,Ya
2024,Jawa Barat,Bandung,Motor Listrik (R2),Selis,Agats,39000000,65,Tidak
2020,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,Cloud EV,267000000,296,Tidak
2024,DI Yogyakarta,Kota/Kabupaten Lain,Motor Listrik (R2),Alva,One,38000000,89,Ya
2024,Jawa Barat,Depok,Mobil Listrik (R4),MG,MG ZS EV,901000000,336,Tidak
2022,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Polytron,Fox R,44000000,124,Tidak
2024,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Polytron,Fox S,36000000,69,Tidak
2023,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Alva,Cervo,43000000,64,Tidak
2023,Banten,Lainnya,Motor Listrik (R2),Honda,EM1 e:,22000000,94,Ya
2021,Jawa Barat,Bandung,Motor Listrik (R2),Honda,EM1 e:,16000000,91,Ya
2023,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Alva,One,22000000,98,Ya
2023,Jawa Barat,Bandung,Motor Listrik (R2),Yadea,E8s Pro,33000000,76,Ya
2023,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Alva,Cervo,26000000,121,Ya
2024,Jawa Barat,Depok,Mobil Listrik (R4),Wuling,BinguoEV,235000000,324,Ya
2025,Jawa Barat,Bekasi,Motor Listrik (R2),Gesits,G1,37000000,124,Ya
2024,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Honda,EM1 e:,39000000,111,Tidak
2023,Jawa Barat,Bandung,Mobil Listrik (R4),BYD,Dolphin,446000000,490,Tidak
2022,Banten,Tangerang,Motor Listrik (R2),Alva,Cervo,31000000,125,Ya
2023,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Gesits,Raya,38000000,119,Ya
2023,Jawa Barat,Bogor,Mobil Listrik (R4),Hyundai,Kona Electric,866000000,443,Ya
2024,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),Chery,Omoda E5,482000000,407,Tidak
2023,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Alva,Cervo,16000000,90,Ya
2023,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Yadea,T9,27000000,92,Ya
2025,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Yadea,T9,25000000,107,Ya
2020,Banten,Tangerang,Motor Listrik (R2),Polytron,Fox S,18000000,69,Ya
2022,Sumatera Utara,Kota/Kabupaten Lain,Mobil Listrik (R4),BYD,Atto 3,700000000,485,Tidak
2025,Jawa Barat,Bekasi,Mobil Listrik (R4),Wuling,BinguoEV,238000000,247,Ya
2024,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Gesits,Raya,44000000,69,Ya
2021,Jawa Barat,Bandung,Motor Listrik (R2),Volta,Mandala,27000000,111,Ya
2024,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Selis,E-Max,17000000,78,Ya
2024,Banten,Lainnya,Motor Listrik (R2),Selis,Agats,42000000,99,Ya
2025,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Honda,EM1 e:,33000000,122,Ya
2025,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Gesits,Raya,33000000,124,Tidak
2023,Jawa Barat,Bekasi,Motor Listrik (R2),Alva,One,17000000,114,Ya
2025,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Polytron,Fox S,20000000,123,Ya
2022,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Yadea,T9,23000000,86,Ya
2023,Banten,Lainnya,Motor Listrik (R2),Selis,E-Max,20000000,104,Ya
2025,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Yadea,T9,28000000,92,Ya
2025,Jawa Barat,Bekasi,Mobil Listrik (R4),Wuling,Air EV,191000000,230,Ya
2024,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Alva,Cervo,27000000,61,Ya
2023,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Polytron,Fox S,27000000,86,Ya
2024,DKI Jakarta,Jakarta Timur,Mobil Listrik (R4),Chery,Omoda E5,984000000,428,Tidak
2025,Jawa Barat,Lainnya,Motor Listrik (R2),Volta,Mandala,36000000,62,Tidak
2023,Banten,Tangerang,Motor Listrik (R2),Gesits,Raya,22000000,109,Ya
2023,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Alva,One,20000000,84,Ya
2024,Jawa Barat,Bogor,Mobil Listrik (R4),Hyundai,Ioniq 6,796000000,439,Ya
2023,Jawa Barat,Bogor,Motor Listrik (R2),Alva,One,35000000,105,Ya
2022,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Alva,Cervo,27000000,97,Ya
2023,Jawa Timur,Surabaya,Motor Listrik (R2),Honda,EM1 e:,40000000,68,Ya
2025,Banten,Lainnya,Motor Listrik (R2),Honda,EM1 e:,43000000,61,Ya
2024,Jawa Barat,Bogor,Motor Listrik (R2),Polytron,Fox R,42000000,80,Ya
2025,Jawa Barat,Depok,Motor Listrik (R2),Volta,401,21000000,76,Ya
2023,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Honda,EM1 e:,37000000,116,Tidak
2021,Lainnya,Kota/Kabupaten Lain,Motor Listrik (R2),Honda,EM1 e:,21000000,101,Ya
2024,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Volta,Virgo,38000000,89,Ya
2024,Jawa Barat,Lainnya,Motor Listrik (R2),Honda,EM1 e:,17000000,74,Ya
2024,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Selis,E-Max,15000000,91,Ya
2022,Jawa Barat,Lainnya,Mobil Listrik (R4),Wuling,Air EV,365000000,309,Tidak
2025,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Gesits,Raya,45000000,77,Ya
2025,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Yadea,T9,32000000,102,Tidak
2025,Jawa Barat,Bandung,Mobil Listrik (R4),Hyundai,Ioniq 5,1170000000,366,Ya
2024,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Polytron,Fox R,31000000,70,Tidak
2020,Jawa Barat,Bandung,Mobil Listrik (R4),Wuling,BinguoEV,393000000,354,Tidak
2023,Jawa Barat,Bogor,Motor Listrik (R2),Honda,EM1 e:,35000000,110,Tidak
2023,Jawa Barat,Lainnya,Motor Listrik (R2),Alva,Cervo,22000000,110,Ya
2021,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Gesits,Raya,20000000,124,Ya
2024,Jawa Barat,Depok,Motor Listrik (R2),Yadea,T9,20000000,113,Ya
2022,Jawa Barat,Depok,Mobil Listrik (R4),Hyundai,Kona Electric,963000000,421,Tidak
2022,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,Air EV,239000000,251,Tidak
2024,Jawa Barat,Bekasi,Mobil Listrik (R4),Hyundai,Kona Electric,951000000,362,Ya
2025,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Yadea,E8s Pro,15000000,88,Ya
2025,Jawa Timur,Malang,Mobil Listrik (R4),Chery,Omoda E5,623000000,388,Tidak
2024,Banten,Tangerang,Motor Listrik (R2),Yadea,T9,36000000,85,Ya
2024,Banten,Tangerang,Motor Listrik (R2),Yadea,E8s Pro,38000000,103,Ya
2022,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Honda,EM1 e:,45000000,102,Ya
2024,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Alva,Cervo,41000000,72,Ya
2022,Jawa Timur,Malang,Mobil Listrik (R4),Wuling,Cloud EV,277000000,212,Tidak
2024,Banten,Lainnya,Mobil Listrik (R4),Hyundai,Ioniq 5,889000000,453,Ya
2023,Banten,Tangerang,Motor Listrik (R2),Alva,One,29000000,68,Ya
2023,Jawa Barat,Depok,Mobil Listrik (R4),Hyundai,Kona Electric,1139000000,451,Ya
2023,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),Hyundai,Ioniq 5,845000000,424,Ya
2023,Banten,Tangerang,Motor Listrik (R2),Honda,EM1 e:,31000000,105,Ya
2025,Jawa Barat,Bekasi,Motor Listrik (R2),Honda,EM1 e:,31000000,124,Ya
2024,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Polytron,Fox R,25000000,75,Ya
2023,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Selis,Agats,29000000,123,Ya
2024,Banten,Lainnya,Motor Listrik (R2),Gesits,G1,22000000,111,Ya
2023,Jawa Timur,Lainnya,Mobil Listrik (R4),BYD,Seal,609000000,490,Tidak
2022,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Alva,Cervo,19000000,125,Ya
2025,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,Air EV,370000000,392,Ya
2025,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Alva,One,41000000,101,Ya
2024,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Yadea,E8s Pro,37000000,63,Tidak
2025,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Selis,Agats,32000000,93,Ya
2024,Jawa Barat,Depok,Motor Listrik (R2),Selis,Agats,21000000,92,Ya
2024,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Alva,Cervo,41000000,112,Ya
2025,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Polytron,Fox R,44000000,129,Tidak
2024,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Honda,EM1 e:,25000000,103,Ya
2022,DKI Jakarta,Jakarta Utara,Mobil Listrik (R4),Wuling,Cloud EV,198000000,381,Tidak
2024,Jawa Barat,Lainnya,Motor Listrik (R2),Honda,EM1 e:,37000000,107,Ya
2022,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Gesits,Raya,38000000,116,Ya
2024,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Volta,401,45000000,86,Tidak
2024,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Yadea,E8s Pro,45000000,84,Tidak
2023,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Alva,One,44000000,74,Tidak
2025,Jawa Barat,Bandung,Mobil Listrik (R4),Hyundai,Kona Electric,1099000000,422,Ya
2024,Jawa Barat,Bogor,Motor Listrik (R2),Volta,Virgo,29000000,63,Ya
2024,Sulawesi Selatan,Kota/Kabupaten Lain,Mobil Listrik (R4),BYD,M6,454000000,543,Tidak
2024,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Honda,EM1 e:,36000000,89,Ya
2020,Banten,Tangerang Selatan,Mobil Listrik (R4),Wuling,Air EV,370000000,335,Tidak
2022,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Selis,E-Max,44000000,116,Ya
2023,DKI Jakarta,Jakarta Selatan,Mobil Listrik (R4),Wuling,Air EV,361000000,235,Ya
2025,Banten,Lainnya,Motor Listrik (R2),Honda,EM1 e:,44000000,87,Tidak
2024,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Selis,E-Max,45000000,68,Tidak
2024,Jawa Barat,Bogor,Motor Listrik (R2),Polytron,Fox S,27000000,121,Ya
2023,Jawa Timur,Surabaya,Mobil Listrik (R4),Hyundai,Ioniq 5,926000000,391,Ya
2023,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Volta,Virgo,29000000,88,Ya
2025,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Gesits,Raya,31000000,88,Tidak
2023,Jawa Timur,Lainnya,Motor Listrik (R2),Gesits,Raya,30000000,60,Ya
2025,DKI Jakarta,Jakarta Pusat,Mobil Listrik (R4),Toyota,bZ4X,993000000,300,Tidak
2025,Jawa Timur,Malang,Motor Listrik (R2),Alva,Cervo,30000000,96,Ya
2024,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Selis,Agats,30000000,121,Ya
2020,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Gesits,Raya,27000000,117,Ya
2023,Jawa Barat,Bogor,Mobil Listrik (R4),MG,MG 4 EV,649000000,319,Tidak
2022,Jawa Timur,Sidoarjo,Motor Listrik (R2),Gesits,G1,33000000,103,Ya
2025,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Alva,Cervo,38000000,90,Ya
2022,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Honda,EM1 e:,31000000,124,Ya
2022,Jawa Barat,Depok,Motor Listrik (R2),Selis,E-Max,16000000,80,Ya
2025,Banten,Lainnya,Mobil Listrik (R4),Wuling,Air EV,214000000,234,Ya
2024,DKI Jakarta,Jakarta Barat,Mobil Listrik (R4),Hyundai,Ioniq 5,916000000,457,Ya
2024,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Gesits,Raya,30000000,125,Tidak
2025,DKI Jakarta,Jakarta Pusat,Mobil Listrik (R4),Wuling,Cloud EV,198000000,344,Ya
2024,Sumatera Utara,Kota/Kabupaten Lain,Motor Listrik (R2),Selis,E-Max,24000000,61,Ya
2024,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Honda,EM1 e:,39000000,97,Tidak
2024,Sumatera Utara,Kota/Kabupaten Lain,Motor Listrik (R2),Polytron,Fox S,34000000,119,Ya
2024,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Honda,EM1 e:,16000000,63,Ya
